,Scores,mean_test_score,std_test_score,sem_test_score,params,round,train_mthd,estimator,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef
29,"[0.6571428571428571, 0.47809144373375745, 0.5976143046671968, 0.8451542547285166, 0.6333333333333333]",0.6422672387211322,0.11866913341947784,0.0530704498313889,"{'penalty': None, 'C': 0.1344984181314082, 'solver': 'sag', 'max_iter': 246, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8285714285714286, 0.7285714285714286, 0.7857142857142857, 0.9285714285714286, 0.8166666666666668]","[0.8333333333333334, 0.75, 0.75, 0.9166666666666666, 0.8181818181818182]","[0.8285714285714285, 0.7285714285714285, 0.7857142857142857, 0.9285714285714286, 0.8166666666666667]","[0.8571428571428571, 0.8571428571428571, 0.5714285714285714, 0.8571428571428571, 0.8333333333333334]","[0.8571428571428571, 0.75, 1.0, 1.0, 0.8333333333333334]","[0.8571428571428571, 0.8, 0.7272727272727273, 0.9230769230769231, 0.8333333333333334]","[0.6571428571428571, 0.47809144373375745, 0.5976143046671968, 0.8451542547285166, 0.6333333333333333]"
30,"[0.50709255283711, 0.37142857142857144, 0.37142857142857144, 0.6571428571428571, 1.0]",0.581418510567422,0.23437599579798118,0.10481613177969819,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7571428571428572, 0.6857142857142857, 0.6857142857142857, 0.8285714285714286, 1.0]","[0.75, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 1.0]","[0.7571428571428571, 0.6857142857142857, 0.6857142857142857, 0.8285714285714285, 1.0]","[0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 1.0]","[0.8333333333333334, 0.8, 0.8, 0.8571428571428571, 1.0]","[0.7692307692307693, 0.6666666666666666, 0.6666666666666666, 0.8571428571428571, 1.0]","[0.50709255283711, 0.37142857142857144, 0.37142857142857144, 0.6571428571428571, 1.0]"
31,"[0.6571428571428571, 0.7142857142857143, 0.6571428571428571, 0.50709255283711, 0.1]",0.5271327962817077,0.22435484553911625,0.10033453714138588,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8285714285714286, 0.8571428571428572, 0.8285714285714286, 0.7571428571428572, 0.5499999999999999]","[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.75, 0.5454545454545454]","[0.8285714285714285, 0.8571428571428572, 0.8285714285714285, 0.7571428571428571, 0.55]","[0.8571428571428571, 0.7142857142857143, 0.8571428571428571, 0.7142857142857143, 0.5]","[0.8571428571428571, 1.0, 0.8571428571428571, 0.8333333333333334, 0.6]","[0.8571428571428571, 0.8333333333333334, 0.8571428571428571, 0.7692307692307693, 0.5454545454545454]","[0.6571428571428571, 0.7142857142857143, 0.6571428571428571, 0.50709255283711, 0.1]"
32,"[0.50709255283711, 0.6571428571428571, 0.6571428571428571, 0.50709255283711, 0.04303314829119352]",0.4743007936502255,0.22583393068321336,0.10099600412672811,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7571428571428572, 0.8285714285714286, 0.8285714285714286, 0.7571428571428572, 0.5166666666666667]","[0.75, 0.8333333333333334, 0.8333333333333334, 0.75, 0.5454545454545454]","[0.7571428571428571, 0.8285714285714285, 0.8285714285714285, 0.7571428571428571, 0.5166666666666667]","[0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.8333333333333334]","[0.8333333333333334, 0.8571428571428571, 0.8571428571428571, 0.8333333333333334, 0.5555555555555556]","[0.7692307692307693, 0.8571428571428571, 0.8571428571428571, 0.7692307692307693, 0.6666666666666666]","[0.50709255283711, 0.6571428571428571, 0.6571428571428571, 0.50709255283711, 0.04303314829119352]"
33,"[0.50709255283711, 0.7142857142857143, 0.7142857142857143, 0.3142857142857143, 0.26666666666666666]",0.503323272472184,0.1901399793114613,0.08503318379616621,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7571428571428572, 0.8571428571428572, 0.8571428571428572, 0.6571428571428573, 0.6333333333333333]","[0.75, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.6363636363636364]","[0.7571428571428571, 0.8571428571428572, 0.8571428571428572, 0.6571428571428571, 0.6333333333333333]","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.6666666666666666]","[0.8333333333333334, 1.0, 1.0, 0.7142857142857143, 0.6666666666666666]","[0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.7142857142857143, 0.6666666666666666]","[0.50709255283711, 0.7142857142857143, 0.7142857142857143, 0.3142857142857143, 0.26666666666666666]"
34,"[0.50709255283711, 0.23904572186687872, 0.5976143046671968, 0.8451542547285166, 0.6708203932499369]",0.5719454454699278,0.20005315430920603,0.08946649042972793,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7571428571428572, 0.6142857142857143, 0.7857142857142857, 0.9285714285714286, 0.8]","[0.75, 0.5833333333333334, 0.75, 0.9166666666666666, 0.8181818181818182]","[0.7571428571428571, 0.6142857142857143, 0.7857142857142857, 0.9285714285714286, 0.8]","[0.7142857142857143, 0.42857142857142855, 0.5714285714285714, 0.8571428571428571, 1.0]","[0.8333333333333334, 0.75, 1.0, 1.0, 0.75]","[0.7692307692307693, 0.5454545454545454, 0.7272727272727273, 0.9230769230769231, 0.8571428571428571]","[0.50709255283711, 0.23904572186687872, 0.5976143046671968, 0.8451542547285166, 0.6708203932499369]"
35,"[0.6831300510639732, 0.1690308509457033, 0.5976143046671968, 0.50709255283711, 1.0]",0.5913735519027966,0.26866723658576636,0.12015164086655841,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8, 0.5857142857142857, 0.7857142857142857, 0.7571428571428572, 1.0]","[0.8333333333333334, 0.5833333333333334, 0.75, 0.75, 1.0]","[0.8, 0.5857142857142856, 0.7857142857142857, 0.7571428571428571, 1.0]","[1.0, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 1.0]","[0.7777777777777778, 0.6666666666666666, 1.0, 0.8333333333333334, 1.0]","[0.875, 0.6153846153846154, 0.7272727272727273, 0.7692307692307693, 1.0]","[0.6831300510639732, 0.1690308509457033, 0.5976143046671968, 0.50709255283711, 1.0]"
36,"[0.3142857142857143, 0.7142857142857143, 0.5976143046671968, 0.50709255283711, 0.8280786712108251]",0.5922713914573121,0.17609803300595478,0.0787534345010633,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.6571428571428573, 0.8571428571428572, 0.7857142857142857, 0.7571428571428572, 0.9]","[0.6666666666666666, 0.8333333333333334, 0.75, 0.75, 0.9090909090909091]","[0.6571428571428571, 0.8571428571428572, 0.7857142857142857, 0.7571428571428571, 0.9]","[0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 1.0]","[0.7142857142857143, 1.0, 1.0, 0.8333333333333334, 0.8571428571428571]","[0.7142857142857143, 0.8333333333333334, 0.7272727272727273, 0.7692307692307693, 0.9230769230769231]","[0.3142857142857143, 0.7142857142857143, 0.5976143046671968, 0.50709255283711, 0.8280786712108251]"
37,"[1.0, 0.8366600265340756, 0.47809144373375745, 0.37142857142857144, 0.6333333333333333]",0.6639026750059476,0.22969889592932094,0.10272446913092227,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[1.0, 0.9, 0.7285714285714286, 0.6857142857142857, 0.8166666666666668]","[1.0, 0.9166666666666666, 0.75, 0.6666666666666666, 0.8181818181818182]","[1.0, 0.9, 0.7285714285714285, 0.6857142857142857, 0.8166666666666667]","[1.0, 1.0, 0.8571428571428571, 0.5714285714285714, 0.8333333333333334]","[1.0, 0.875, 0.75, 0.8, 0.8333333333333334]","[1.0, 0.9333333333333333, 0.8, 0.6666666666666666, 0.8333333333333334]","[1.0, 0.8366600265340756, 0.47809144373375745, 0.37142857142857144, 0.6333333333333333]"
38,"[0.6571428571428571, 0.8451542547285166, 0.50709255283711, 0.5976143046671968, 0.8280786712108251]",0.6870165281173011,0.1312736831568612,0.05870737583910216,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8285714285714286, 0.9285714285714286, 0.7571428571428572, 0.7857142857142857, 0.9]","[0.8333333333333334, 0.9166666666666666, 0.75, 0.75, 0.9090909090909091]","[0.8285714285714285, 0.9285714285714286, 0.7571428571428571, 0.7857142857142857, 0.9]","[0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.5714285714285714, 1.0]","[0.8571428571428571, 1.0, 0.8333333333333334, 1.0, 0.8571428571428571]","[0.8571428571428571, 0.9230769230769231, 0.7692307692307693, 0.7272727272727273, 0.9230769230769231]","[0.6571428571428571, 0.8451542547285166, 0.50709255283711, 0.5976143046671968, 0.8280786712108251]"
39,"[0.6571428571428571, 0.47809144373375745, 0.5976143046671968, 0.8451542547285166, 0.6333333333333333]",0.6422672387211322,0.11866913341947784,0.0530704498313889,"{'penalty': None, 'C': 0.013100800935204554, 'solver': 'lbfgs', 'max_iter': 351, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8285714285714286, 0.7285714285714286, 0.7857142857142857, 0.9285714285714286, 0.8166666666666668]","[0.8333333333333334, 0.75, 0.75, 0.9166666666666666, 0.8181818181818182]","[0.8285714285714285, 0.7285714285714285, 0.7857142857142857, 0.9285714285714286, 0.8166666666666667]","[0.8571428571428571, 0.8571428571428571, 0.5714285714285714, 0.8571428571428571, 0.8333333333333334]","[0.8571428571428571, 0.75, 1.0, 1.0, 0.8333333333333334]","[0.8571428571428571, 0.8, 0.7272727272727273, 0.9230769230769231, 0.8333333333333334]","[0.6571428571428571, 0.47809144373375745, 0.5976143046671968, 0.8451542547285166, 0.6333333333333333]"
40,"[0.7142857142857143, 0.37142857142857144, 0.37142857142857144, 0.6571428571428571, 1.0]",0.6228571428571429,0.23588305646343194,0.10549010979853099,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8571428571428572, 0.6857142857142857, 0.6857142857142857, 0.8285714285714286, 1.0]","[0.8333333333333334, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 1.0]","[0.8571428571428572, 0.6857142857142857, 0.6857142857142857, 0.8285714285714285, 1.0]","[0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 1.0]","[1.0, 0.8, 0.8, 0.8571428571428571, 1.0]","[0.8333333333333334, 0.6666666666666666, 0.6666666666666666, 0.8571428571428571, 1.0]","[0.7142857142857143, 0.37142857142857144, 0.37142857142857144, 0.6571428571428571, 1.0]"
41,"[0.50709255283711, 0.7142857142857143, 0.6571428571428571, 0.6571428571428571, 0.26666666666666666]",0.560466129615041,0.1621851454641001,0.07253140203968389,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7571428571428572, 0.8571428571428572, 0.8285714285714286, 0.8285714285714286, 0.6333333333333333]","[0.75, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.6363636363636364]","[0.7571428571428571, 0.8571428571428572, 0.8285714285714285, 0.8285714285714285, 0.6333333333333333]","[0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.6666666666666666]","[0.8333333333333334, 1.0, 0.8571428571428571, 0.8571428571428571, 0.6666666666666666]","[0.7692307692307693, 0.8333333333333334, 0.8571428571428571, 0.8571428571428571, 0.6666666666666666]","[0.50709255283711, 0.7142857142857143, 0.6571428571428571, 0.6571428571428571, 0.26666666666666666]"
42,"[0.50709255283711, 0.6571428571428571, 0.8451542547285166, 0.37142857142857144, 0.2608745973749754]",0.5283385667024061,0.20667454609879263,0.09242766685916286,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7571428571428572, 0.8285714285714286, 0.9285714285714286, 0.6857142857142857, 0.6166666666666667]","[0.75, 0.8333333333333334, 0.9166666666666666, 0.6666666666666666, 0.6363636363636364]","[0.7571428571428571, 0.8285714285714285, 0.9285714285714286, 0.6857142857142857, 0.6166666666666667]","[0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.5714285714285714, 0.8333333333333334]","[0.8333333333333334, 0.8571428571428571, 1.0, 0.8, 0.625]","[0.7692307692307693, 0.8571428571428571, 0.9230769230769231, 0.6666666666666666, 0.7142857142857143]","[0.50709255283711, 0.6571428571428571, 0.8451542547285166, 0.37142857142857144, 0.2608745973749754]"
43,"[0.7142857142857143, 0.6571428571428571, 0.8451542547285166, 0.7142857142857143, 0.4485426135725303]",0.6758822308030665,0.12933455753102172,0.05784017249584438,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8571428571428572, 0.8285714285714286, 0.9285714285714286, 0.8571428571428572, 0.7166666666666668]","[0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.8333333333333334, 0.7272727272727273]","[0.8571428571428572, 0.8285714285714285, 0.9285714285714286, 0.8571428571428572, 0.7166666666666667]","[0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.8333333333333334]","[1.0, 0.8571428571428571, 1.0, 1.0, 0.7142857142857143]","[0.8333333333333334, 0.8571428571428571, 0.9230769230769231, 0.8333333333333334, 0.7692307692307693]","[0.7142857142857143, 0.6571428571428571, 0.8451542547285166, 0.7142857142857143, 0.4485426135725303]"
44,"[0.50709255283711, 0.23904572186687872, 0.7142857142857143, 0.8451542547285166, 0.8280786712108251]",0.626731382985809,0.22826680171318994,0.10208401712743163,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7571428571428572, 0.6142857142857143, 0.8571428571428572, 0.9285714285714286, 0.9]","[0.75, 0.5833333333333334, 0.8333333333333334, 0.9166666666666666, 0.9090909090909091]","[0.7571428571428571, 0.6142857142857143, 0.8571428571428572, 0.9285714285714286, 0.9]","[0.7142857142857143, 0.42857142857142855, 0.7142857142857143, 0.8571428571428571, 1.0]","[0.8333333333333334, 0.75, 1.0, 1.0, 0.8571428571428571]","[0.7692307692307693, 0.5454545454545454, 0.8333333333333334, 0.9230769230769231, 0.9230769230769231]","[0.50709255283711, 0.23904572186687872, 0.7142857142857143, 0.8451542547285166, 0.8280786712108251]"
45,"[0.6831300510639732, 0.1690308509457033, 0.5976143046671968, 0.50709255283711, 1.0]",0.5913735519027966,0.26866723658576636,0.12015164086655841,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8, 0.5857142857142857, 0.7857142857142857, 0.7571428571428572, 1.0]","[0.8333333333333334, 0.5833333333333334, 0.75, 0.75, 1.0]","[0.8, 0.5857142857142856, 0.7857142857142857, 0.7571428571428571, 1.0]","[1.0, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 1.0]","[0.7777777777777778, 0.6666666666666666, 1.0, 0.8333333333333334, 1.0]","[0.875, 0.6153846153846154, 0.7272727272727273, 0.7692307692307693, 1.0]","[0.6831300510639732, 0.1690308509457033, 0.5976143046671968, 0.50709255283711, 1.0]"
46,"[0.47809144373375745, 0.7142857142857143, 0.5976143046671968, 0.50709255283711, 0.8280786712108251]",0.6250325373469208,0.130726543970559,0.05846268775635703,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.7285714285714286, 0.8571428571428572, 0.7857142857142857, 0.7571428571428572, 0.9]","[0.75, 0.8333333333333334, 0.75, 0.75, 0.9090909090909091]","[0.7285714285714285, 0.8571428571428572, 0.7857142857142857, 0.7571428571428571, 0.9]","[0.8571428571428571, 0.7142857142857143, 0.5714285714285714, 0.7142857142857143, 1.0]","[0.75, 1.0, 1.0, 0.8333333333333334, 0.8571428571428571]","[0.8, 0.8333333333333334, 0.7272727272727273, 0.7692307692307693, 0.9230769230769231]","[0.47809144373375745, 0.7142857142857143, 0.5976143046671968, 0.50709255283711, 0.8280786712108251]"
47,"[0.8451542547285166, 0.8366600265340756, 0.47809144373375745, 0.37142857142857144, 0.8333333333333334]",0.6729335259516509,0.20545710950290857,0.09188321266182431,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.9285714285714286, 0.9, 0.7285714285714286, 0.6857142857142857, 0.9166666666666667]","[0.9166666666666666, 0.9166666666666666, 0.75, 0.6666666666666666, 0.9090909090909091]","[0.9285714285714286, 0.9, 0.7285714285714285, 0.6857142857142857, 0.9166666666666667]","[0.8571428571428571, 1.0, 0.8571428571428571, 0.5714285714285714, 0.8333333333333334]","[1.0, 0.875, 0.75, 0.8, 1.0]","[0.9230769230769231, 0.9333333333333333, 0.8, 0.6666666666666666, 0.9090909090909091]","[0.8451542547285166, 0.8366600265340756, 0.47809144373375745, 0.37142857142857144, 0.8333333333333334]"
48,"[0.6571428571428571, 0.8451542547285166, 0.3142857142857143, 0.5976143046671968, 0.6708203932499369]",0.6170035048148443,0.17237992432851476,0.07709064575096576,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8285714285714286, 0.9285714285714286, 0.6571428571428573, 0.7857142857142857, 0.8]","[0.8333333333333334, 0.9166666666666666, 0.6666666666666666, 0.75, 0.8181818181818182]","[0.8285714285714285, 0.9285714285714286, 0.6571428571428571, 0.7857142857142857, 0.8]","[0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.5714285714285714, 1.0]","[0.8571428571428571, 1.0, 0.7142857142857143, 1.0, 0.75]","[0.8571428571428571, 0.9230769230769231, 0.7142857142857143, 0.7272727272727273, 0.8571428571428571]","[0.6571428571428571, 0.8451542547285166, 0.3142857142857143, 0.5976143046671968, 0.6708203932499369]"
49,"[0.6571428571428571, 0.47809144373375745, 0.5976143046671968, 0.8451542547285166, 0.6333333333333333]",0.6422672387211322,0.11866913341947784,0.0530704498313889,"{'penalty': None, 'C': 0.011971371752878886, 'solver': 'saga', 'max_iter': 476, 'n_jobs': None}",round_cv,one_sem,LogisticRegression,"[0.8285714285714286, 0.7285714285714286, 0.7857142857142857, 0.9285714285714286, 0.8166666666666668]","[0.8333333333333334, 0.75, 0.75, 0.9166666666666666, 0.8181818181818182]","[0.8285714285714285, 0.7285714285714285, 0.7857142857142857, 0.9285714285714286, 0.8166666666666667]","[0.8571428571428571, 0.8571428571428571, 0.5714285714285714, 0.8571428571428571, 0.8333333333333334]","[0.8571428571428571, 0.75, 1.0, 1.0, 0.8333333333333334]","[0.8571428571428571, 0.8, 0.7272727272727273, 0.9230769230769231, 0.8333333333333334]","[0.6571428571428571, 0.47809144373375745, 0.5976143046671968, 0.8451542547285166, 0.6333333333333333]"
